# global-step learning-rate train-g-loss train-d-loss valid-g-loss valid-d-loss
0 0.1000 120948.31 0.00 0.0 0.000
1 0.1000 109827.43 0.00 0.0 0.000
2 0.1000 127388.53 0.00 0.0 0.000
3 0.1000 96763.83 0.00 0.0 0.000
4 0.1000 86655.91 0.00 0.0 0.000
5 0.1000 90517.58 0.00 0.0 0.000
6 0.10000000149011612 157.16530227661133 158.62802505493164 None None
7 0.10000000149011612 156.94338607788086 157.25922393798828 None None
8 0.10000000149011612 156.72623825073242 156.41365432739258 None None
9 0.10000000149011612 156.7529182434082 155.05548095703125 None None
10 0.10000000149011612 155.87357711791992 154.07994842529297 None None
11 0.10000000149011612 155.51895141601562 152.62932205200195 None None
12 0.10000000149011612 154.27466201782227 151.3662452697754 None None
13 0.10000000149011612 152.98274612426758 149.91901397705078 None None
14 0.10000000149011612 151.64500045776367 148.37347412109375 None None
15 0.10000000149011612 150.0301284790039 146.75912475585938 None None
16 0.10000000149011612 148.5079002380371 145.4947280883789 None None
17 0.10000000149011612 147.2308578491211 144.0752716064453 None None
